[8,000] MAE: 38,844,125,488.354324, RMSE: 571,591,906,409.041992, R2: -1,834,704,274,253,066,763,284,403,716,096. – 0:00:03.646077 – 25.74 KB
[8,100] MAE: 38,394,618,219.478645, RMSE: 568,052,699,928.244995, R2: -1,825,568,431,527,894,653,479,484,915,712. – 0:00:03.690893 – 25.74 KB
[8,200] MAE: 37,952,247,464.944817, RMSE: 564,578,428,406.592529, R2: -1,817,377,698,684,202,398,371,016,605,696. – 0:00:03.735652 – 25.74 KB
[8,300] MAE: 37,518,336,557.633904, RMSE: 561,167,113,439.210571, R2: -1,808,279,694,162,738,668,153,327,321,088. – 0:00:03.780464 – 25.74 KB
[8,400] MAE: 37,098,038,294.005844, RMSE: 557,816,914,618.760254, R2: -1,798,101,116,718,225,550,455,315,890,176. – 0:00:03.825157 – 25.74 KB
[8,500] MAE: 36,686,551,928.35643, RMSE: 554,526,009,290.667236, R2: -1,788,890,376,236,211,172,463,526,019,072. – 0:00:03.869982 – 25.74 KB
[8,600] MAE: 36,290,915,682.785965, RMSE: 551,292,720,163.398682, R2: -1,773,104,880,888,018,720,602,384,760,832. – 0:00:03.914705 – 25.74 KB
[8,700] MAE: 35,931,916,159.350807, RMSE: 548,115,816,974.685486, R2: -1,751,493,342,269,669,656,095,755,337,728. – 0:00:03.959695 – 25.74 KB
[8,800] MAE: 35,558,092,496.65062, RMSE: 544,992,807,506.555786, R2: -1,731,851,165,004,188,252,771,585,097,728. – 0:00:04.004480 – 25.74 KB
[8,900] MAE: 35,178,462,936.215279, RMSE: 541,922,460,464.234802, R2: -1,714,450,575,082,822,286,843,437,907,968. – 0:00:04.049159 – 25.74 KB
[9,000] MAE: 34,804,196,864.2547, RMSE: 538,903,410,518.158081, R2: -1,698,284,277,531,515,124,120,278,794,240. – 0:00:04.093976 – 25.74 KB
[9,100] MAE: 34,439,493,165.921638, RMSE: 535,934,272,868.525269, R2: -1,668,975,247,161,928,978,723,443,310,592. – 0:00:04.138668 – 25.74 KB
[9,200] MAE: 34,083,222,800.15781, RMSE: 533,013,676,958.278748, R2: -1,651,615,563,649,096,634,676,983,889,920. – 0:00:04.183401 – 25.74 KB
[9,300] MAE: 33,730,412,335.435822, RMSE: 530,140,292,950.916809, R2: -1,637,551,025,445,626,942,037,946,269,696. – 0:00:04.228191 – 25.74 KB
[9,400] MAE: 33,387,082,030.937817, RMSE: 527,312,896,470.604553, R2: -1,625,633,716,962,365,267,978,624,172,032. – 0:00:04.273027 – 25.74 KB
[9,500] MAE: 33,047,011,451.434608, RMSE: 524,530,241,824.057373, R2: -1,613,367,103,725,664,248,160,619,331,584. – 0:00:04.318219 – 25.74 KB
[9,600] MAE: 32,715,771,445.123112, RMSE: 521,791,189,041.917175, R2: -1,601,546,497,664,548,226,566,455,296,000. – 0:00:04.363132 – 25.74 KB
[9,700] MAE: 32,389,888,646.218632, RMSE: 519,094,597,315.818909, R2: -1,595,293,640,904,916,446,762,558,816,256. – 0:00:04.407957 – 25.74 KB
