,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
12256,12256999,22.375912134056968,38.71137492759512,0.029658276826776242,1002.8568077087402,767.2509579658508,102.44266510009766,27660,2350,25310,1254,24056,9,12257000.0
12257,12257999,22.375773102338698,38.71097719384986,0.02965166337094427,1002.9108881950378,767.309333562851,102.44353103637695,27660,2350,25310,1254,24056,9,12258000.0
12258,12258999,22.375798560715996,38.71097644696309,0.029646300357860866,1002.964861869812,767.3677780628204,102.44688034057617,27660,2350,25310,1254,24056,9,12259000.0
12259,12259999,22.37575460893178,38.71050040938097,0.029641490999086972,1003.0202887058258,767.4260718822479,102.4536018371582,27660,2350,25310,1254,24056,9,12260000.0
12260,12260999,22.375852667785853,38.71007080465066,0.029636605511660696,1003.1274752616882,767.4847393035889,102.27754974365234,27672,2351,25321,1254,24067,9,12261000.0
12261,12261999,22.376009883666423,38.7100430390618,0.02963129613935933,1003.188333272934,767.5445120334625,102.29183197021484,27672,2351,25321,1254,24067,9,12262000.0
12262,12262999,22.376050522991708,38.709383705150145,0.029623173576235784,1003.2436800003052,767.6036386489868,102.30365371704102,27672,2351,25321,1254,24067,9,12263000.0
12263,12263999,22.376024791556784,38.70871631786249,0.029615711568562464,1003.2987167835236,767.6618077754974,102.31139755249023,27672,2351,25321,1254,24067,9,12264000.0
12264,12264999,22.376267176404884,38.708207031013295,0.02960396691131939,1003.4530153274536,767.7213778495789,101.9868392944336,27715,2353,25362,1252,24110,9,12265000.0
12265,12265999,22.37655649374801,38.70779874192525,0.02959064810418377,1003.5099711418152,767.7794861793518,101.9876823425293,27715,2353,25362,1252,24110,9,12266000.0
12266,12266999,22.376834096043943,38.70730662702578,0.02957589261710447,1003.6106815338135,767.8381834030151,101.89846420288086,27727,2354,25373,1252,24121,9,12267000.0
12267,12267999,22.37711467264194,38.70673144617572,0.029557075350036932,1003.6651763916016,767.8971292972565,101.92809295654297,27727,2354,25373,1252,24121,9,12268000.0
12268,12268999,22.377039058044716,38.70594097276215,0.029549778331359966,1003.724752664566,767.9568774700165,101.96736145019531,27727,2354,25373,1252,24121,9,12269000.0
12269,12269999,22.37634838436816,38.70500587608873,0.029553812896035092,1003.7788965702057,768.0150771141052,101.97746276855469,27727,2354,25373,1252,24121,9,12270000.0
12270,12270999,22.37565338707869,38.704030988145504,0.02956004921553379,1003.8320434093475,768.073558807373,101.97753143310547,27727,2354,25373,1252,24121,9,12271000.0
12271,12271999,22.37507786040649,38.70313874661768,0.02956424661464463,1003.8864068984985,768.1321127414703,101.9867935180664,27727,2354,25373,1252,24121,9,12272000.0
12272,12272999,22.37452496448875,38.70207328525346,0.029568977310555966,1003.9406318664551,768.1902723312378,101.99759292602539,27727,2354,25373,1252,24121,9,12273000.0
12273,12273999,22.37416123826959,38.701194509398604,0.029571315186982527,1003.9942972660065,768.248152256012,102.00891876220703,27727,2354,25373,1252,24121,9,12274000.0
12274,12274999,22.37373005541122,38.70029991707598,0.029573993829055567,1004.0484960079193,768.3065848350525,102.01636505126953,27727,2354,25373,1252,24121,9,12275000.0
12275,12275999,22.373419267207336,38.699427506072574,0.029575495993661938,1004.1025066375732,768.3661575317383,102.01720809936523,27727,2354,25373,1252,24121,9,12276000.0
12276,12276999,22.373190497481847,38.69856605364981,0.029574007002755476,1004.1555275917053,768.4245545864105,102.02058029174805,27727,2354,25373,1252,24121,9,12277000.0
12277,12277999,22.373062301216677,38.69772172943901,0.02957166327053895,1004.2092113494873,768.483099937439,102.02233505249023,27727,2354,25373,1252,24121,9,12278000.0
12278,12278999,22.372985838888898,38.697943204009945,0.029566513327585642,1004.2706229686737,768.5423228740692,102.02399826049805,27727,2354,25373,1252,24121,9,12279000.0
12279,12279999,22.372962783713035,38.697238100310585,0.029560313416170825,1004.325225353241,768.6011910438538,102.02741622924805,27727,2354,25373,1252,24121,9,12280000.0
12280,12280999,22.37304953999015,38.69665082055741,0.02955180742577479,1004.3790712356567,768.6599626541138,102.03153991699219,27727,2354,25373,1252,24121,9,12281000.0
12281,12281999,22.373067486370484,38.69590595828577,0.029544455599328168,1004.4323391914368,768.7180635929108,102.03153991699219,27727,2354,25373,1252,24121,9,12282000.0
12282,12282999,22.37334040658179,38.69543363491399,0.029531689253308846,1004.535564661026,768.7763092517853,101.92950057983398,27739,2355,25384,1252,24132,9,12283000.0
12283,12283999,22.373616128192573,38.694827241332405,0.029515480407304118,1004.5898056030273,768.8352491855621,101.93209838867188,27739,2355,25384,1252,24132,9,12284000.0
12284,12284999,22.37391512984734,38.69435892918133,0.029501660799092222,1004.645007610321,768.8938586711884,101.94207763671875,27739,2355,25384,1252,24132,9,12285000.0
12285,12285999,22.37419136762702,38.69370354246591,0.029483441332467386,1004.700355052948,768.9526195526123,101.95138168334961,27739,2355,25384,1252,24132,9,12286000.0
12286,12286999,22.37395350531997,38.69272639981614,0.029479913800427582,1004.7622683048248,769.0115718841553,101.97289276123047,27739,2355,25384,1252,24132,9,12287000.0
12287,12287999,22.373134366238137,38.691599006475165,0.02948832229930587,1004.8180861473083,769.0703716278076,102.01969528198242,27739,2355,25384,1252,24132,9,12288000.0
12288,12288999,22.372434272083012,38.69052153913288,0.029494918139922555,1004.8742439746857,769.1300566196442,102.05374908447266,27739,2355,25384,1252,24132,9,12289000.0
12289,12289999,22.371941803199554,38.68981721732046,0.02950020873118009,1004.9298539161682,769.1892411708832,102.0852279663086,27740,2355,25385,1253,24132,9,12290000.0
12290,12290999,22.371420957489526,38.688817333927226,0.0295045661696286,1004.9848895072937,769.2477922439575,102.116943359375,27740,2355,25385,1253,24132,9,12291000.0
12291,12291999,22.370945801085977,38.68793228926925,0.029508185293421696,1005.0397293567657,769.3063163757324,102.12532806396484,27740,2355,25385,1253,24132,9,12292000.0
12292,12292999,22.370579307437517,38.68719651161628,0.029509342391141113,1005.0980412960052,769.3662633895874,102.1456184387207,27740,2355,25385,1253,24132,9,12293000.0
12293,12293999,22.370153340279018,38.686263671125836,0.029512261833588016,1005.1530520915985,769.4249999523163,102.15933609008789,27740,2355,25385,1253,24132,9,12294000.0
12294,12294999,22.369837833358122,38.68536934753192,0.02951282083468887,1005.2075343132019,769.4833850860596,102.17058944702148,27740,2355,25385,1253,24132,9,12295000.0
12295,12295999,22.36942691843691,38.68436270480229,0.02951267179297712,1005.262778043747,769.5418055057526,102.17745208740234,27740,2355,25385,1253,24132,9,12296000.0
12296,12296999,22.369221897734946,38.683713760675815,0.029509176223866285,1005.3181304931641,769.6013934612274,102.18741989135742,27740,2355,25385,1253,24132,9,12297000.0
12297,12297999,22.36910223905738,38.68388686965365,0.02950393827245723,1005.4220135211945,769.6624593734741,102.10924530029297,27742,2356,25386,1252,24134,9,12298000.0
12298,12298999,22.368952269791958,38.68305955316881,0.029498431877251097,1005.4780867099762,769.7234961986542,102.11266326904297,27742,2356,25386,1252,24134,9,12299000.0
12299,12299999,22.36886300118858,38.682204711172375,0.029492210183619028,1005.5361700057983,769.7862474918365,102.11595916748047,27742,2356,25386,1252,24134,9,12300000.0
12300,12300999,22.36895352115664,38.68158027386169,0.02948191328459615,1005.6403925418854,769.8453989028931,102.0189437866211,27754,2357,25397,1251,24146,9,12301000.0
12301,12301999,22.369080455709682,38.68101111451071,0.029470382196191247,1005.694643497467,769.9041607379913,102.0226058959961,27754,2357,25397,1251,24146,9,12302000.0
12302,12302999,22.369164320645176,38.68032800167503,0.029458842700021304,1005.7984685897827,769.9627313613892,101.93627548217773,27766,2358,25408,1251,24157,9,12303000.0
12303,12303999,22.3692460676161,38.67962226854937,0.02944600357414273,1005.8530597686768,770.0217506885529,101.94131088256836,27766,2358,25408,1251,24157,9,12304000.0
12304,12304999,22.368956453505806,38.67859795691387,0.029441396200201475,1005.9119937419891,770.0803823471069,101.96037292480469,27766,2358,25408,1251,24157,9,12305000.0
12305,12305999,22.36815525827886,38.67739553446898,0.029447227756580152,1005.966991186142,770.1381084918976,101.97591400146484,27766,2358,25408,1251,24157,9,12306000.0
12306,12306999,22.36740394794231,38.67629064714471,0.029452869535712134,1006.0215990543365,770.1969094276428,101.98258972167969,27766,2358,25408,1251,24157,9,12307000.0
12307,12307999,22.3667633242656,38.675393387890566,0.029457543211094506,1006.076742887497,770.2558100223541,101.98970031738281,27766,2358,25408,1251,24157,9,12308000.0
12308,12308999,22.36610020201637,38.67447625846119,0.029460532285900953,1006.1329295635223,770.3151452541351,102.01197052001953,27766,2358,25408,1251,24157,9,12309000.0
12309,12309999,22.365490663376562,38.67339724191736,0.029463321085386518,1006.192624092102,770.3738834857941,102.0285758972168,27766,2358,25408,1251,24157,9,12310000.0
12310,12310999,22.364860623090397,38.67220157092252,0.02946570593291875,1006.2495720386505,770.433896780014,102.03860473632812,27766,2358,25408,1251,24157,9,12311000.0
12311,12311999,22.36428853837467,38.67113792159579,0.029467191036497087,1006.305826663971,770.4933047294617,102.04731750488281,27766,2358,25408,1251,24157,9,12312000.0
12312,12312999,22.363897229446607,38.670241930248466,0.029464933717531894,1006.3600513935089,770.5516791343689,102.05169296264648,27766,2358,25408,1251,24157,9,12313000.0
